D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
25,Man,WO Master,Groningen,Stedelijk,5,5,4,4,4,4,4,4,4,5,2,2,4,4,2,2,4,2,5,5,3,4,4,4,4,4,2,2,2,2,5,4.142857142857143,2.4,4.4,3.8333333333333335,2.857142857142857,6.804761904761905,6,0,0,1,15,6.0,1.0
20,Vrouw,HBO,Groningen,Stedelijk,5,5,3,4,4,4,5,4,3,2,4,4,4,4,4,3,4,3,5,4,4,4,5,5,5,5,3,4,4,3,5,4.571428571428571,3.8,4.2,3.6666666666666665,3.7142857142857144,6.421768707482992,9,0,0,6,15,9.0,6.0
21,Vrouw,HBO,Smilde,Landelijk,3,5,2,4,4,4,1,4,3,2,4,5,5,4,4,2,4,2,4,3,5,4,4,4,4,5,3,4,3,4,5,4.0,3.8,3.6,3.0,3.7142857142857144,6.302040816326531,6,0,1,6,16,7.0,6.0
24,Man,WO Master,Groningen,Stedelijk,4,5,3,4,4,4,4,2,4,4,3,2,4,4,3,2,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4.142857142857143,4.2,4.0,3.5,3.2857142857142856,6.875510204081634,4,0,0,3,23,4.0,3.0
20,Man,WO Bachelor,Assen,Stedelijk,4,4,4,4,4,4,3,2,4,2,2,3,4,4,3,3,4,2,4,4,5,4,3,4,4,4,3,4,4,4,5,4.0,3.8,4.0,2.8333333333333335,3.2857142857142856,6.131292517006803,2,0,0,6,21,2.0,6.0
20,Vrouw,HBO,Assen,Stedelijk,4,4,3,4,4,5,4,4,4,2,5,1,5,4,4,2,5,3,5,3,3,5,5,2,4,4,4,5,3,3,5,3.857142857142857,3.8,3.8,4.0,3.4285714285714284,6.2693877551020405,9,0,1,6,13,10.0,6.0
25,Man,HBO,Utrecht,Stedelijk,2,2,2,2,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,2,5,3.4285714285714284,3.6,2.0,3.3333333333333335,4.0,6.623129251700681,1,0,1,0,21,2.0,0.0
24,Man,WO Master,Utrecht,Stedelijk,4,5,5,2,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,5,2,4,4,4,5,2,4,4,2,5,3.857142857142857,3.4,4.0,3.3333333333333335,3.7142857142857144,6.7578231292517,5,0,0,0,20,5.0,0.0
25,Man,HBO,Assen,Stedelijk,1,1,1,1,1,5,1,3,5,1,5,2,3,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,1.0,3.3333333333333335,2.2857142857142856,6.659863945578231,18,0,8,3,0,26.0,3.0
20,Vrouw,WO Bachelor,Groningen,Stedelijk,4,2,2,2,1,3,4,2,4,4,3,3,5,4,,4,4,2,2,4,4,4,4,5,4,5,4,2,4,4,5,3.857142857142857,3.8,2.2,3.3333333333333335,3.6666666666666665,5.979591836734694,4,0,1,3,16,5.0,3.0
