D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
1998,Man,WO Master,Groningen,Stedelijk,Helemaal eens,Helemaal eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Helemaal eens,Oneens,Oneens,Eens,Eens,Oneens,Oneens,Eens,Oneens,Helemaal Eens,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,5
2003,Vrouw,HBO,Groningen,Stedelijk,Helemaal eens,Helemaal eens,Neutraal,Eens,Eens,Eens,Helemaal eens,Eens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Helemaal Eens,Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Eens,Eens,Neutraal,5
2002,Vrouw,HBO,Smilde,Landelijk,Neutraal,Helemaal eens,Oneens,Eens,Eens,Eens,Helemaal oneens,Eens,Neutraal,Oneens,Eens,Helemaal eens,Helemaal eens,Eens,Eens,Oneens,Eens,Oneens,Eens,Neutraal,Helemaal Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Neutraal,Eens,Neutraal,Eens,5
1999,Man,WO Master,Groningen,Stedelijk,Eens,Helemaal eens,Neutraal,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Neutraal,Oneens,Eens,Eens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,5
2003,Man,WO Bachelor,Assen,Stedelijk,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Oneens,Eens,Oneens,Oneens,Neutraal,Eens,Eens,Neutraal,Neutraal,Eens,Oneens,Eens,Eens,Helemaal Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,5
2003,Vrouw,HBO,Assen,Stedelijk,Eens,Eens,Neutraal,Eens,Eens,Helemaal eens,Eens,Eens,Eens,Oneens,Helemaal eens,Helemaal oneens,Helemaal eens,Eens,Eens,Oneens,Helemaal eens,Neutraal,Helemaal Eens,Neutraal,Neutraal,Helemaal Eens,Helemaal Eens,Oneens,Eens,Eens,Eens,Helemaal Eens,Neutraal,Neutraal,5
1998,Man,HBO,Utrecht,Stedelijk,Oneens,Oneens,Oneens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Oneens,5
1999,Man,WO Master,Utrecht,Stedelijk,Eens,Helemaal eens,Helemaal eens,Oneens,Eens,Eens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Helemaal Eens,Oneens,Eens,Eens,Eens,Helemaal Eens,Oneens,Eens,Eens,Oneens,5
1998,Man,HBO,Assen,Stedelijk,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal eens,Helemaal oneens,Neutraal,Helemaal eens,Helemaal oneens,Helemaal eens,Oneens,Neutraal,Oneens,Oneens,Oneens,Neutraal,Oneens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,5
2003,Vrouw,WO Bachelor,Groningen,Stedelijk,Eens,Oneens,Oneens,Oneens,Helemaal oneens,Neutraal,Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Helemaal eens,Eens,,Eens,Eens,Oneens,Oneens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Helemaal Eens,Eens,Oneens,Eens,Eens,5
1997,Vrouw,WO Master,Kerkdriel,Landelijk,Eens,Helemaal eens,Helemaal eens,Oneens,Oneens,,,,,,,,,,,,,,,,,,,,,,,,,,5
2003,Vrouw,WO Bachelor,,Stedelijk,Oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Eens,Eens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Eens,Oneens,Oneens,Neutraal,Eens,Oneens,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,5
2005,Vrouw,,Assen,Stedelijk,Eens,Eens,Eens,Eens,Helemaal oneens,,,,,,,,,,,,,,,,,,,,,,,,,,5
2003,Vrouw,HBO,Assen,Stedelijk,Eens,Oneens,Oneens,Neutraal,Eens,Neutraal,Eens,Helemaal oneens,Helemaal eens,Helemaal oneens,Helemaal eens,Oneens,Neutraal,Neutraal,Neutraal,Oneens,Oneens,Oneens,Helemaal Eens,Eens,Oneens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Helemaal Eens,Neutraal,Neutraal,5
2003,Vrouw,WO Bachelor,Assen,Stedelijk,Oneens,Eens,Helemaal oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Neutraal,Oneens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,5
1997,Vrouw,WO Master,Den Bosch,Stedelijk,Oneens,Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Eens,Neutraal,Eens,Neutraal,Neutraal,Eens,Oneens,Helemaal oneens,Oneens,Oneens,Oneens,5
1998,Vrouw,WO Bachelor,Den Haag,Stedelijk,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Helemaal eens,Eens,Oneens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Neutraal,Eens,Oneens,Eens,5
